year,id,url
2012,,http://www.washingtonpost.com/blogs/mike-debonis/post/vincent-orange-proposes-capping-dc-marijuana-sites/2012/01/12/gIQAhiqMuP_blog.html
2012,,http://www.washingtonpost.com/blogs/blogpost/post/antoine-dodson-viral-video-star-arrested-for-marijuana-possession/2011/04/25/AFO4OKiE_blog.html
2012,,http://www.washingtonpost.com/blogs/blogpost/post/marijuana-legalization-is-the-war-on-drugs-working/2011/06/02/AGtC1JHH_blog.html
2012,,http://www.washingtonpost.com/blogs/celebritology/post/willie-nelsons-marijuana-related-plea-deal-rejected/2011/07/07/gIQAnyt21H_blog.html
2012,,http://www.washingtonpost.com/blogs/crime-scene/post/dc-police-cracking-down-on-fake-pot/2011/03/21/ABnxddDB_blog.html
2016,18,https://www.washingtonpost.com/blogs/plum-line/wp/2014/04/23/why-the-marijuana-issue-is-only-going-to-get-bigger/
2016,18,https://www.washingtonpost.com/blogs/post-partisan/wp/2014/01/06/the-insiders-republicans-just-say-no-to-marijuana/
2016,22,https://www.washingtonpost.com/blogs/govbeat/wp/2013/12/27/legalizing-pot-could-save-california-hundreds-of-millions-every-year-state-says/
2016,22,https://www.washingtonpost.com/blogs/post-partisan/wp/2013/10/22/looks-like-democrats-have-a-weed-fight-coming/
2018,30,https://www.washingtonpost.com/amphtml/news/wonk/wp/2016/10/12/police-arrest-more-people-for-marijuana-use-than-for-all-violent-crimes-combined/
2018,34,https://www.washingtonpost.com/amphtml/national/it-is-too-risky-marijuana-group-says-pnc-bank-to-close-its-accounts-amid-fears-of-a-doj-crackdown/2017/06/20/130ee7b2-550b-11e7-b38e-35fd8e0c288f_story.html
2018,34,https://www.washingtonpost.com/amphtml/news/global-opinions/wp/2018/07/18/legalization-alone-wont-erase-canadas-prejudiced-pot-convictions-we-need-mass-pardons/?utm_term=.839f6844d401&__twitter_impression=true
2018,34,https://www.washingtonpost.com/amphtml/news/powerpost/wp/2017/11/06/veterans-tell-of-medical-marijuana-use-in-defiance-of-backward-federal-policy/
2018,39,https://www.washingtonpost.com/amphtml/business/big-safety-testing-failure-rate-for-california-pot-products/2018/09/11/fd71933e-b5d3-11e8-ae4f-2c1439c96d79_story.html
2018,39,https://www.washingtonpost.com/amphtml/local/virginia-politics/dozens-compete-for-a-piece-of-virginias-limited-medical-marijuana-market/2018/08/20/d8b62aac-a16d-11e8-93e3-24d1703d2a7a_story.html
2018,39,https://www.washingtonpost.com/amphtml/news/animalia/wp/2016/10/28/as-marijuana-legalization-spreads-more-pets-are-getting-high/
2018,39,https://www.washingtonpost.com/amphtml/news/wonk/wp/2016/11/21/donald-trumps-attorney-general-pick-could-destroy-the-recreational-pot-industry/
2018,43,https://www.washingtonpost.com/amphtml/local/public-safety/dc-arrests-for-public-use-of-marijuana-nearly-tripled-last-year/2017/07/11/906bea50-627d-11e7-8b2b-b6c8c99c3bea_story.html
2019,4,https://www.washingtonpost.com/archive/local/1978/05/19/glaucoma-victim-gets-marijuana-use-rights/eb33b621-f5a9-486a-a203-9dbd826de2a5/
2019,4,https://www.washingtonpost.com/archive/local/1978/10/13/students-urge-decriminalized-marijuana-use/2f6f6cd8-52b9-4ef8-a20e-9d0de24db374/
2019,4,https://www.washingtonpost.com/archive/politics/1977/05/16/59-feel-marijuana-is-addictive-and-that-it-leads-to-hard-drugs/00e7e773-411c-416f-b66e-6b20db28f2e9/
2019,4,https://www.washingtonpost.com/archive/politics/1977/08/03/carter-endorses-decriminalization-of-marijuana/7e4b0e9a-90c9-4bdb-a49b-57290236a671/
2019,4,https://www.washingtonpost.com/archive/politics/1977/09/13/momentum-on-easing-marijuana-laws/f0c75fcf-5752-4245-a41b-30f3a6ae807d/
2019,9,https://www.washingtonpost.com/amphtml/business/2018/08/30/republican-lawmakers-this-us-territory-just-voted-legalize-marijuana/
2019,9,https://www.washingtonpost.com/amphtml/lifestyle/magazine/can-marijuana-rescue-coal-country/2017/08/07/87ef803a-68ae-11e7-8eb5-cbccc2e7bfbf_story.html
2019,13,https://www.washingtonpost.com/blogs/govbeat/wp/2015/08/17/eleven-years-after-being-approved-montanas-medical-marijuana-industry-faces-an-existential-threat/
2019,13,https://www.washingtonpost.com/blogs/mike-debonis/wp/2013/04/17/marijuana-policy-groups-kick-off-d-c-legalization-campaign-with-poll/
2019,18,https://www.washingtonpost.com/amphtml/nation/2019/03/10/police-searched-cancer-patients-room-weed-after-someone-called/
2019,18,https://www.washingtonpost.com/blogs/govbeat/wp/2015/03/09/whats-in-the-historic-medical-marijuana-bill-being-unveiled-on-tuesday/
2019,22,https://www.washingtonpost.com/blogs/govbeat/wp/2015/03/09/in-a-first-senators-plan-to-introduce-federal-medical-marijuana-bill/?tid=hybrid_experimentrandom_2_na
2020,5,https://www.washingtonpost.com/blogs/govbeat/wp/2014/07/24/blacks-in-seattle-disproportionately-fined-for-using-pot-in-public/
2020,10,https://www.washingtonpost.com/arts-entertainment/2019/11/11/neil-young-was-honest-his-us-citizenship-app-says-his-weed-smoking-is-holding-things-up/
2020,16,https://www.washingtonpost.com/express/2019/04/18/weed-walking-waffles-national-cannabis-festival-founder-caroline-phillips-dc-dream-day/?utm_term=.49c166b25fd0
EXTRACTED,ON,2020-12-21
2013,20,http://www.breitbart.com/BBTV%20SC%20Login/2010/09/16/Pot-Smoking-Baby
2013,20,http://www.breitbart.com/Big-Hollywood/2009/08/05/The-Consequence-of-Come-On-Its-Just-Pot
2015,6,http://www.breitbart.com/big-government/2011/06/24/doobie-brothers-ron-and-barney/
2017,13,https://www.breitbart.com/politics/2013/12/31/colorado-predicts-more-than-500-million-in-marijuana-sales-next-year/
2017,51,https://www.breitbart.com/politics/2017/06/14/government-ganja-greed-mass-seeks-to-more-than-double-pot-tax-7-months-after-legalization/
2018,5,http://www.breitbart.com/big-government/2012/12/11/gallup-two-in-three-americans-favor-federalism-for-marijuana-laws/
2018,47,https://www.breitbart.com/politics/2016/08/31/federal-court-gun-ban-marijuana-card-holders-constitutional/
2019,9,https://www.breitbart.com/asia/2018/12/03/philippines-duterte-jokes-smoked-marijuana-southeast-asian-summit-stay-awake/
2019,26,https://www.breitbart.com/border/2014/03/09/son-sets-mom-apartment-on-fire-for-refusing-to-buy-him-marijuana/
2019,43,https://www.breitbart.com/big-government/2015/10/21/cdc-marijuana-surpasses-cigarette-smoking-high-school/
2019,30,https://www.breitbart.com/border/2019/05/13/weekend-raids-net-more-than-3-tons-of-meth-marijuana-in-tijuana/
EXTRACTED,ON,2020-12-20
2013,20,http://www.huffingtonpost.com/2010/01/08/weed-school-marijuana-gro_n_416789.html
2014,23,http://www.huffingtonpost.com/2008/06/27/marijuana-loopholes-in-ne_n_109669.html
2018,43,https://www.huffpost.com/entry/9-ways-to-use-hemp-oil-in_b_10145990
2018,43,https://www.huffpost.com/entry/can-medical-marijuana-help-arthritis_n_873189
2018,43,https://www.huffpost.com/entry/legal-marijuana-how-to-invest-in-pot_n_2129154
2019,4,https://www.huffpost.com/entry/cannabis-skincare-products_n_5ad89740e4b0e4d0715de13d
2019,4,https://www.huffpost.com/entry/doctors-medical-marijuana_n_5064782?ir=Politics&ncid=fcbklnkushpmg00000013
2019,4,https://www.huffpost.com/entry/it-is-okay-to-expect-the-unexpected-with-medical-marijuana_b_58839b71e4b08f5134b62125
2019,4,https://www.huffpost.com/entry/marijuana-cancer_n_4158865?ncid=edlinkusaolp00000003
2019,4,https://www.huffpost.com/entry/marijuana-broken-bones_n_55ad1e24e4b0d2ded39f7bef
2019,9,https://www.huffpost.com/entry/kamala-harris-legalize-weed-marijuana_n_5c61b154e4b0f9e1b1806193
2019,9,https://www.huffpost.com/entry/if-pot-prevented-cancer-y_n_261157?ec_carp=716734537006236568
EXTRACTED,ON,2020-12-19
2013,48,http://www.foxnews.com/health/2008/06/12/marijuana-poses-health-risks/
2015,14,http://www.foxnews.com/health/2014/03/19/ptsd-added-to-medical-marijuana-worthy-conditions-in-michigan/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxnews%2Fhealth+%28Internal+-+Health+-+Text%29
2016,22,http://www.foxnews.com/health/2015/01/13/half-teen-young-adult-car-crash-deaths-involve-pot-or-alcohol.html
2016,26,http://www.foxnews.com/health/2016/03/16/13-year-old-who-moved-for-access-to-medical-marijuana-dies.html
2016,26,http://www.foxnews.com/health/2016/03/30/whoopi-goldberg-launches-line-medical-marijuana-products-for-women.html
2016,26,http://www.foxnews.com/politics/2015/05/04/black-farmers-say-floridas-medical-marijuana-law-shuts-them-out.html
2017,39,http://www.foxnews.com/auto/2017/06/23/insurance-study-ties-legal-pot-to-boost-in-car-crash-claims.html
2017,47,http://www.foxnews.com/entertainment/2017/10/22/corey-feldman-details-his-recent-arrest-for-marijuana-possession-on-social-media.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxnews%2Fentertainment+%28Internal+-+Entertainment+-+Mixed%29
2018,9,http://www.foxnews.com/auto/2018/02/13/fatal-car-crashes-higher-on-420-marijuana-holiday.html
