SEEN
2_13_21
https:www.breitbart.com/border/2019/06/18/mexican-feds-find-marijuana-grow-op-inside-border-state-oil-refinery/
https:www.breitbart.com/border/2018/02/06/first-cannabis-oil-dispensary-epilepsy-patients-comes-texas/
http:www.breitbart.com/big-government/2017/01/04/pot-advocates-try-to-smoke-sen-jeff-sessions-nomination-for-attorney-general-job/
http:www.breitbart.com/jerusalem/2016/03/30/u-s-firms-investing-tens-of-millions-in-israeli-cannabis/
http:www.breitbart.com/video/2015/04/16/cruz-feds-should-recognize-state-decisions-on-marijuana/
http:www.breitbart.com/big-government/2014/02/24/study-fatal-car-crashes-by-marijuana-smokers-up-300-over-last-decade/
http:www.breitbart.com/Big-Government/2013/04/01/Judicial-Watch-Brief-Challenges-Constitutionality-of-AZ-Medical-Marijuana-Act
http:www.breitbart.com/Big-Government/2012/02/29/transplant-denied-how-medical-marijuana-policy-kills-patients
http:www.breitbart.com/Big-Government/2012/05/29/Pot-Shops-doomed-in-LA
http:www.breitbart.com/Big-Government/2011/11/29/California-vs-The-Feds--Obamas-DOJ-Cracks-Down-on-Medical-Marijuana
https:www.breitbart.com/politics/2010/10/20/prop-19-should-californians-legalize-marijuana/
2_12_21
https:www.huffpost.com/entry/sonic-gulfport-marijuana-smoke_n_5ac53c46e4b056a8f597f630
https:www.huffpost.com/entry/cannabis-is-no-ordinary-commodity_b_59aea0e5e4b0bef3378cdb29
https:www.huffpost.com/entry/weed-bar-tent-oregon-wedding-reception_n_55df5ba0e4b08dc09486cce3
https:www.huffpost.com/entry/drinkable-marijuana-legal_n_5760660
https:www.huffpost.com/entry/weed-edibles_n_3831498
http:www.huffingtonpost.com/2012/01/09/michigan-marijuana-amendment_n_1194313.html
http:www.huffingtonpost.com/2011/01/04/chris-matthews-inlaw-pot-bust_n_804321.html
http:www.huffingtonpost.com/2010/02/18/marijuana-provides-pain-r_n_466993.html
http:www.huffingtonpost.com/2009/03/26/obama-takes-pot-legalizat_n_179563.html
http:www.huffingtonpost.com/2008/05/21/cannabis-college-a-master_n_102843.html
2_11_21
https://www.foxnews.com/health/2016/06/02/marijuana-use-by-adults-tied-to-few-physical-health-problems.html
https:www.foxnews.com/health/florida-doctor-sells-cannabis-infused-ice-cream
https:www.foxnews.com/health/marijuana-and-pregnancy-5-key-takeaways-from-the-new-official-guidelines
https:www.foxnews.com/health/181-vie-for-license-to-dispense-medical-marijuana-in-massachusetts
http:www.foxnews.com/entertainment/2017/04/17/melissa-etheridge-smokes-pot-with-her-kids-it-brings-much-closer.html
http:www.foxnews.com/entertainment/2015/02/06/busy-philipps-says-seth-rogen-gave-her-pot-during-freaks-and-geeks.html
http:www.foxnews.com/entertainment/2013/07/30/pot-reportedly-found-in-bieber-tour-bus-at-canadian-border.html
https:www.foxnews.com/entertainment/tommy-chong-says-stay-high-amid-potential-pot-crackdown
http:www.foxnews.com/auto/2016/05/13/pot-growing-neighbors-blamed-for-fire-that-killed-import-cars-dogs.html
http:www.foxnews.com/entertainment/2015/01/15/report-bethenny-frankel-to-launch-skinnygirl-marijuana-line.html
http:www.foxnews.com/entertainment/2014/01/31/report-justin-bieber-plane-stopped-on-suspicion-it-was-carrying-weed.html
http:www.foxnews.com/health/2014/01/08/scientists-discover-hormone-that-blocks-pot-high.html
https:www.foxnews.com/entertainment/brad-pitt-turned-marijuana-hiding-from-public-amid-immense-fame-1990
